username,komentar,sentimen,Waktu,,,
ajisaefudin262,PAK!!! RAKYATMU BUTUH MAKAN BUKAN MASKER!!! RAKYAT KECIL SEMAKIN MENDERITA TOLONG LIHAT PAK!!! JANGAN DIDALAM TERUS!!!,Negatif,29/09/20 20:42:40,,,
esan782,Sehat selalu PAK PRESIDEN,Positif,29/09/20 20:57:16,,,
alfianmiftahulhuda_,Gk pengen ganti menkes pak ?,Negatif,29/09/20 23:21:18,,,
ali.fikri.925,"Jika semuanya disiplin dan patuh pada protokol kesehatan ,Insha Allah Indonesia akan cepat pulih dan bertambah jaya semuanya...Amiiin ya Rabbal alamiin..",Positif,30/09/20 00:05:52,,,
sayidbudhi,"Ijin bapak, kalimat ""berperang"" sepertinya sudah kurang tepat lagi, saat ini (akhirnya)..., kita cuma bisa untuk ""terpaksa bertahan dari serangan musuh nan kasat mata"" - mari pak dirangkul lagi pendapat para teknokrat negeri ini supaya tidak tambal sulam dalam menangani covid.",Negatif,30/09/20 00:54:52,,,
galatama11,TAEK,Negatif,30/09/20 03:26:30,,,
riapratiwi44,Sehat selalu pakde,Positif,30/09/20 04:37:25,,,
feri9495,Semoga untuk sweb di gratiskan pak  amin,Positif,30/09/20 05:44:37,,,
usrancr7,"Pak @jokowi saya mau nanya pak.. menteri kesehatan kita sekarang di mana pak ?? Kok belakangan ini pak menter kesehatan kita jarang tampil di depan tv,,, saya hanya mau menyampaikan salam saja pak kepada menteri kesehatan Kita",Negatif,30/09/20 05:55:14,,,
saputraandi9822020,Info pak jokowi ::: Hasil swab test 28 september 2020 SMP boarding school darul fatah natar lampung dari 180 penghuni sekolah ada 40 siswa yg dirandom swab tes dan 2 siswa dinyatakan menyusul positif corona sehingga total saat ini ada 3 siswa yang positif covid-19 @jokowi,Positif,30/09/20 05:55:48,,,
kbsd_suryadharma78,Sehat selalu pak jokowi. Semoga nambah cucu lagi,Positif,30/09/20 05:56:36,,,
perantaranusantara,"Wah keren pak, jangan lupa support kami jga ya buat sepedaan dari sabang-merauke",Positif,30/09/20 09:18:01,,,
deny_3969,"Sekolah ga masuk, pabrik"" libur semua, rakyat kecil pada menjerit pakk...",Negatif,30/09/20 09:47:03,,,
eviioktafiana,Pakde tolong jngn psbb lg pekerjaa semua orang jdi hilang nga ada pemasukan.,Negatif,30/09/20 09:53:50,,,
ynavnaaa,"Pak , aku kangen sekolah:)",Negatif,30/09/20 10:24:34,,,
ham.tan7unk,Masyarakat yg patuhi protokol kesehatan dan tetap brjuang untuk mncukupi kebutuhan nya memang pantas di sebut pahlawan.. tapi pemerintah yg harus nya menjaga rakyat nya tak melakukan kwajiban nya pantas nya di sebut apa dan harus nya gmana???,Negatif,30/09/20 12:49:23,,,
faisal.putrap,vaksin kapan  pak  setelah pemilu serentak?,Positif,30/09/20 13:15:50,,,
herunatakusuma,"Pak Kayaknya menteri kesehatan kita diragukan kemampuannya pak, tujuh bulan dengan anggaran besar tidak menggambarkan sedikitpun penanganan pandemi... Kita harus ingat ad buk siti fadilah yang berhasil membantalakn keputusan who bahwa flu burung itu pandemi.... Dan buk siti fadilah juga berhasil membuat Indonesia mampu membuat vaksin flu burung sendiri dan tidak jadi memakai vaksin dari bill Gates...... Untuk itu pecat saja menteri terawan dari jabatannya dan digantikan dengan orang yg lebih kompeten...... Atau bisa saja dikasih kesempatan sama buk siti fadilah.... Untuk negara kita menghadapi pandemi yang luar biasa harus dengan cara yang luar biasa juga",Negatif,30/09/20 14:24:37,,,
diahpush_19,Moga selalu sehat Bpk Presiden @jokowi,Positif,30/09/20 22:44:10,,,
farel_dimass13,Sehat selalu pak,Positif,01/10/20 00:03:45,,,
zebualifers,"Sehat selalu Pak Presiden,  kiranya Kasih dan karunia TUHAN menyertai setiap langkah Bapak.",Positif,01/10/20 00:20:54,,,
snhynti,Semangat pak,Positif,01/10/20 00:31:37,,,
scheivudien,Waspada PKI BANGKIT,Negatif,01/10/20 01:42:33,,,
tiara_lestari1,Indonesia tetap semangat ya!,Positif,01/10/20 03:46:44,,,
novariyanraditya,"Saya ada di kabupaten Rembang, kecamatan Lasem untuk satu Minggu ini Alhamdulillah keadaan pasar mulai stabil walau kmrn sempet sepi",Positif,01/10/20 12:31:17,,,
1960.ani,Sy dulunya guru Smp swasta sejak thn 1999.menjadi guru prakarya dan tata boga karna saya tamatan sekolah kejuruan tata boga.,Positif,01/10/20 12:44:07,,,
1960.ani,Karna tdk diangkat2 jd tenaga kontrak maka saya mengundurkan diri utk jualan makanan dan kue2,Negatif,01/10/20 12:45:25,,,
fff3rdian,Semangat terus pa hidup perjuangan @jokowi,Positif,01/10/20 19:37:02,,,
yusbach84,Karen bangets masya.,Positif,01/10/20 23:17:51,,,
augustinusdarman,"Pasti bisa, Tuhan Memberkati Kerjasama Seluruh Bangsa Indonesia.",Positif,02/10/20 01:07:58,,,
binarsih81,"Betul ....bukan hanya d Indonesia d seluruh Dunia jga mengalami adanya Corona,jadi dgn kesadaran kita sendiri,kita selalu jaga jarak dn selalu pake masker.",Positif,02/10/20 02:02:55,,,
iwandjava,Pak @jokowi  dmn hati nurani anak buah bapam harga tas swab tertinggi 900.000rb udah pada sinting rakyat kecil apa bisa melakukan swab dengan harga segitu anda luar biasa pak,Negatif,02/10/20 17:56:36,,,
jhendrysselan,Semangat bwat kata smua pak,Positif,03/10/20 03:48:25,,,
central_intelejen,"PILKADA JALAN TERUS NEGRI APA INI PAK PRESIDEN,HAK PENUH DITANGAN BAPAK UNTUK MEMBATALKAN ATAU MENGUNDURKAN PILKADA KALAU TIDAK BAPAK LANGSUNG TUNJUK JANGAN LAGI ADA PILKADA DI MASA PANDEMI INI PAK",Negatif,03/10/20 08:27:08,,,
amar_zalukhu,Terharu dengan semangatnya,Positif,04/10/20 06:32:48,,,
totojunior21,Butuh makan pak bukan edukasi,Negatif,04/10/20 14:52:19,,,
zerrnio,"bohong..., korona itu sudah tidak ada pak.",Negatif,05/10/20 22:35:25,,,
danydyeied,Musuh rakyat bukan covid pak musuh rakyat sebenarnya wakil rakyatnya,Negatif,06/10/20 05:40:02,,,
nursalia_180298,"Postingan bapak tentang rakyat, tapi malah buat rakyat malah makin susah aja dengan disahkannya omnibuslawww",Negatif,06/10/20 11:05:22,,,
bilqisdrmwn,Perekonomian harus terselamatkan ... Bagaimana omnibuslaw pak?,Negatif,07/10/20 02:58:59,,,
widivieraaa,Musuh number one nya itu depeer pak bukan corona,Negatif,07/10/20 14:34:46,,,
ida_frida_tp.bolon,Marilah kita  berdoa agar covid 19 cepat berlalu.,Positif,08/10/20 17:40:04,,,
riyan_setiakuh,konspirasi gk ada yg percya dg corona,Negatif,09/10/20 22:03:30,,,
sri.heldawati111,Sehat terus yah pak,Positif,10/10/20 02:51:02,,,
synasayda,Pak @jokowi saya butuh bantuan sembako paa.. bukan omnibus lawwww,Negatif,13/10/20 11:11:08,,,
naomizhu,Semangat pak presidenku... semua indah pada waktunya...,Positif,17/10/20 05:59:10,,,
beryls16,"Maskermu melindunguku, maskerku melindungimu. Tapi kenapa sempat diumumkan masker hanya wajib dipakai bagi orang yang sakit ???",Negatif,19/10/20 04:17:23,,,
ade_zulfrian,"Perisai paling ampuh ya jangan bohongi rakyat pak, anda tu suka bercanda",Negatif,19/10/20 15:06:50,,,
autowhprmj,Betuuulll,Positif,19/10/20 15:21:32,,,
tuyuthebestgift,"Stay save gaes, kalo mau cari hadiah buat orang tersayang percayain ke kita ajaa..",Positif,19/10/20 15:42:39,,,
andriashariyanto,Pak blt karyawan bagaimana banyak yang ga dapat nih pak...,Negatif,19/10/20 15:55:53,,,
baimsport21,Alhamdulillah segera akan ada PIL untuk covid19..,Positif,19/10/20 17:16:07,,,
riwayah_1943,Para teman2 rakyat Indonesia patuhilah kata bapak Jokowi sebagai  Ppemimpin kita Presiden RI selama vaksin dan obat virus corona belum ada maka untuk menghindari virus harus akai masker jaga jarak hindari kerumunan Ingatlah selalu,Positif,19/10/20 19:07:45,,,
burak_isal,Selama Corona tidak mengganggu sinyal saya saat bermain game. Bodo amat!,Negatif,20/10/20 01:47:10,,,
xburgerfanx,Anti polusi polusi club!!!,Negatif,20/10/20 02:01:48,,,
dns_april,semoga covid-19 cepat berakhirnya,Positif,20/10/20 02:39:44,,,
ni_tttaa,PAK 2021 SEKOLAH YA KASIAN SAYA PAK RUGI UDAH JUTAAN,Negatif,20/10/20 02:49:00,,,
benk_manzarek,Kenapa patokannya Masker min?,Negatif,20/10/20 02:53:35,,,
pesonajenamas,Jangan lupa gunakan masker,Positif,20/10/20 03:02:20,,,
khasna_umi_salamah,Siap paakk Jokowii,Positif,20/10/20 03:59:56,,,
rizki_ardianto225,"Maap pak. Aku bingung ama iklan di tv, katanya obat corona itu masker ama jaga jarak ya. Saya tidak setuju dengan iklan itu. Karena itu hanyalah bentuk pencegahannya. Kan jadinya aneh kalo orang yang terpapar korona cuma pake masker ama jaga jarak terus bisa sembuh.",Negatif,20/10/20 06:50:14,,,
iralramdani,Himbauan ga bikin kenyang,Negatif,20/10/20 08:45:56,,,
stros4312,"Yang bagus lagi menurut pendapat saya kita semua rajin ber olah raga misalnya senam  pagi jln sehat dan makan makanan yang baik juga bergizi seimbang banyak minum air hangat air  putih yang dah masak berfikir positif supaya kita bisa melakukan kebaikan kepada orang lain bukan y,,bagi orang yang sehat tetaplah aktif bekerja jangan lupa berdoa dulu yaaa makasih banyak semoga semuanya sehat Slamet aamiiin ollohumma aamiiin yarobbal a'lamiiin doaku untukmu semuanya selamat",Positif,20/10/20 13:19:32,,,
rafles0078,Lebay luuuuu,Negatif,20/10/20 15:06:01,,,
rafles0078,Korona udh gak ada kokkk,Positif,20/10/20 15:06:16,,,
rafles0078,"Sibuk sibuk buat vaksin ,vaksin bapak kau",Negatif,20/10/20 15:06:33,,,
rafles0078,"Jokowi anjing anak haram ,anak babi hutan",Negatif,20/10/20 15:06:50,,,
tomfer1983,Rakyat butuh makan bukan masker....lebay bgt negri ini ngadepin corona....apa kabar wuhan???,Negatif,20/10/20 15:25:10,,,
pijatbayiindonesia,Bersama sama menghadapi wabah corona,Positif,20/10/20 16:16:16,,,
azmifauzisubhan,"CARA MENGATASI CORONA ADALAH MAKAN YANG BANYAK, KALO MAKAN BANYAK GA KELAPERAN ,KALO PAKE MASKER TAPI GA MAKAN MATI UDAH",Negatif,20/10/20 16:59:14,,,
hfzfslrhmn,"Pak kapan pensiun,kasian bapak terus berkrja tapi tetep di pandang sebelah mata",Negatif,20/10/20 17:47:58,,,
ilhamdwprmna,"Keluarin Perpu RUU Cipta kerja lahh pak, banyak amat pasal aneh di dua periode #batalkanomnibuslaw",Negatif,21/10/20 00:14:55,,,
rara_la02,pak saya mau odading,Positif,21/10/20 02:57:35,,,
elvi.na9828,Semangat negara ku Indonesia,Positif,21/10/20 06:35:45,,,
selly_n_j,Pak kok aneh di kampung saya.. yg susah makin susah yang kaya makin kaya.. yang gak susah kok ada bantuan BMN terus prakerja semua kebalian padahal masih pada kerja masih byk yg kehilangan pekerjaan gak kebagian apa2.. dunia ini emg gak adil..malah di kampung saya yang maki2 president @jokowi dukung si anu goar2 di fb tapi dia dapat bantuan..,Negatif,21/10/20 08:45:50,,,
dhimasbagus19,Mending cabut status pandemi ini pak,Negatif,21/10/20 15:02:40,,,
febridwirhmn,"Saya percaya corona, tapi tidak percaya angka nya.",Negatif,21/10/20 15:53:28,,,
alexandradwiputra91,"bagaimana tau org lapar, kalau tak pernah lapar. bagaimana tau org menderita kalau tak pernah menderita. berhentilah berhutang, nanti semua tambah mahal karna mau bayar hutang.",Negatif,22/10/20 07:10:37,,,
msl._tonii,Ingat umur pak… udah tuaa jangan kebanyakan polah,Negatif,22/10/20 12:15:31,,,
sambeldower__,Si tolol,Negatif,22/10/20 16:37:06,,,
djamu_mbakmini,"Tetap tenang dan jangan panik,",Positif,22/10/20 18:54:18,,,
andri_anpamungkas,Corona apakah ada??????,Positif,22/10/20 21:26:49,,,
amndagntng,Bapak mau sepeda pak:>,Positif,23/10/20 10:45:30,,,
enjiputrawijaya,ayam ku kemana?,Positif,23/10/20 16:41:36,,,
ali.akbar_10,"corona bullshit ! hanya menghamburkan APBN aja, duit ratusan triliun bisa nyelametin brp banyak org miskin tuh ?",Negatif,23/10/20 16:44:32,,,
kamaji_san1,Saya gak perlu vaksin pak,Negatif,24/10/20 09:59:13,,,
xcry12,Mantap pak animasi nya,Positif,24/10/20 14:06:17,,,
dradian40,No pict hoax,Negatif,24/10/20 15:49:32,,,
sudarmawancucu,"Pak , selama ini saya tidak pernah dengar penjelasan ilmiah dari dokter mana pun bahwa masker bisa mencegah penularan penyakit",Negatif,25/10/20 16:48:04,,,
nasser.sulman,"Sorry Boss saya rasa memaksa masker tidak berpengaruh boss banyak negara tidak memakai masker aman aman saja, menurut saya ini cuma salah satu kebijakan peraturan KONYOL...",Negatif,25/10/20 22:19:52,,,
_bgsnnda,Mari lawan korona yuk kita ramaikan di luar kita cegah korona yuk jangan mau d bodohin oleh bisnis,Positif,27/10/20 02:45:24,,,
fatners_ulin,"Selalu patuhi protokol kesehatan & lakukan 3 M . mwmakai masker , menjaga jarak & mencuci tangan",Positif,28/10/20 05:39:32,,,
erniyuliawati,Terima kasih foto anak saya sudah terpilih dan dimuat di akun Pak @jokowi,Positif,28/10/20 06:33:23,,,
pietronellaputri,Setuju,Positif,28/10/20 13:18:08,,,
yulianasdr,"indonesia taun ini lagi gak asik. rakyat kmn, presiden kmn.",Negatif,28/10/20 15:29:06,,,
alexander_hengky_joseph,Kalo terburu-buru Alhamdulillah saya suka lupa. Alhamdulillah saya beli masker buat keamanan dan keselamatan kesehatan saya juga pak,Positif,29/10/20 01:34:19,,,
lanang_sp,"Terlihat hebat, tapi bodoh",Negatif,31/10/20 17:56:29,,,
teman_ani_depok,"Kapan sekolah lagi,percuma orang orang di komplek aku gak maskeran",Negatif,01/11/20 01:23:42,,,
teman_ani_depok,"Musuh nya kagak pergi pergi,hadeehhh pasrah dah Indonesia warganya susah amat yak di bilangin",Negatif,01/11/20 01:27:55,,,
evelyn.vania,"Perisai paling ampuh tuh imun tubuh, pak! Bukan masker ataupun vaksin! Salam sehat.",Negatif,03/11/20 00:11:57,,,
masyibb,"Cerita sedikit dari saya pak, saya pernah divonis kena covid19, sudah dikarantina... Namun tidak diberi multivitamin yang mumpuni pak, hanya diberi vitamin apotek yang harga 10 ribuan pak, pas dikarantina tidak ada yang namanya pemeriksaan sama sekali sama pihak medis disana, cuma diberi vitamin 10 ribuan tadi sama makan 3x sehari...apa wajar pak orang yang terkena covid 19 diperlakukan seperti itu?...ditambah saat sabun cuci tangan habis bisa sampai 4hari lagi baru diisi ulang...ini yang salah saya, petugasnya, dananya, apa ada penggelapan uang untuk covid 19....sama ini...petugas nya cuma pake seragam biasa + sandal jepit cuma alhamdulillah masih mau pake masker siii....makasih pak semoga dibaca pak @jokowi",Negatif,03/11/20 09:01:18,,,
agily.story,"Aelah,,, kenapa muka luh sih...",Negatif,03/11/20 12:14:17,,,
daniresto17,Ih najis,Negatif,03/11/20 17:24:25,,,
jajat_safa_rudin,butuh makan no masker,Negatif,06/11/20 09:43:47,,,
reivanrblx,ANTI- CORONA,Negatif,06/11/20 14:21:51,,,
grealvin,Makasih pak presiden,Positif,11/11/20 08:46:43,,,
bellasandhi,"Mohon izin Pak , Maaf sebelumnya saya Kira Bantuan BLT Masih kurang tepat sasaran pak Contohnya Di Kab Bekasi Khususnya di kecamatan saya pak , Yg janda janda kaya Ibu saya malah ga dapat bantuan BLT sedangkan Yg bermobil 2 punya 3rumah malah dapat pak itu bagaimana ya pak , ? Saya hanya bisa melaporkan ke bapak karna Aparat di desa saya Kurang respon pak malah yg dpt yg Deket Deket sama orang Desa & kecamatan .",Negatif,11/11/20 10:54:40,,,
astrid_sebayang,"Pak @jokowi terhormat,membaca ulang pesan bapak ini,coba bapak lihat situasi beberapa hari ini...apakah bapak melihat,ato mendengar beritanya?sy rasa bapak pst tau..setau sy pemerintah akan menindak tegas siapa yg tidak mematuhi peraturan tersebut kan,terbukti kmrn2 byk yg ga pake masker malah disuru bersihin dan nyapu jalan ...so now,apa peraturan bapak.itu uda kadarluarsa? Sy rasa sy tdk perlu menjelaskan situasi beberapa hari ini bagaimana,krn smua jg tau dan pst bapak lbh tau kan...sekian dan trima kasih .",Negatif,13/11/20 09:43:06,,,
martogel_96,"gimana pak dengan pihak rumasakit dalam mengatasi penyakit covid. apakah mereka benar"" dokter apa bukan masak cuma masuk angin mriang terus di ajak berobat di catat covid",Negatif,17/11/20 07:19:30,,,
al_di__,Pak kami GK butuh maaker kami butuh uang,Negatif,22/11/20 23:09:52,,,
sharon.ega,"Selamat tahun baru pak Presiden Jokowi sehat"" Selalu pak tulung pak Cilegon rawit 90rb/kg",Positif,03/01/21 09:46:10,,,
aa_gt_ven,Sehat terus pak Jokowi,Positif,03/01/21 10:17:17,,,
hm_kardi_t,sesegera mungkin pak vaksin nya biar kita segera bangkit.,Positif,03/01/21 10:34:58,,,
sebuahnama58andika,Semoga Bpk Presiden tetap sehat dn tetap sabar. Kami mendoakan bapak.,Positif,03/01/21 11:33:52,,,
boss_babi_03,gak guna………,Negatif,03/01/21 11:43:33,,,
rusli_.maulana,Pak kapan sekolah tatap muka di laksanakan? Kasian yang akan mebghadapi ujian pak...tanpa persiapan yang matang,Negatif,03/01/21 11:56:45,,,
aquarichin,"Semangat, Pak. .. Kita pantang menyerah untuk Indonesia kita",Positif,03/01/21 12:21:12,,,
chan.fa27,Pak @jokowi BLT bpjs ketenagakerjaan ditambahin 1... prakerja kapan pak? Sama² anak kemnaker pak... jangan dianak tiri... sono masih punya gaji... disini masih nyari,Negatif,03/01/21 12:55:49,,,
yatno_firman,Tolong gratiskan rapid tes Pak Presiden. Nyari uang 10 rb skrg susah pak.,Negatif,03/01/21 13:34:11,,,
amruupika,pa jokowi tolong bantu rakyat kecil pa nyawa manusia skarang di pralatkan .kjadian kmarin prusakan RS brebes kronologi si istri sedang mlahirka sesar trus mninggal di vonis covid jasadnyapun di tahan untuk di makamkan scara kovid jelas itu ga terkena kovid ahkirnya si suami ga trima ambil paksa jasad itu dg bawa masa trjadilah prusakan RS umum brebes. Bnyak skali yg mnyjanggal soal covid pa ada lg asam lambung di vonis covid sampe kapan mau bgini trus pa jg pandang spele lah pa pertindak tegas pa skrng bnyak org sakit tapi takut di bawa ke RS dg alasan itu2 pa presiden kami sbagai rakyat kecil kami mohon pa prtindak tegaslah pa  tentang hal ini banyak skali korban yg mnderita tntang itu pa trimakasih pa,Negatif,03/01/21 13:36:39,,,
nuzulunnafakoh,Semoga bapak saya mendapatkan Bansos UMKM amin,Positif,03/01/21 14:10:55,,,
cansgituu,Ayo pak bangun bangsa mu lebih maju,Positif,03/01/21 14:22:19,,,
yudifrastya06,+harapan buat tahun 2021 ini apa?,Positif,03/01/21 15:02:26,,,
azka_0129,Sehat selalu pak,Positif,03/01/21 18:05:47,,,
balisuperpromo,"Indonesia Bangsa yang besar Pak, jangan ragu, maju terus",Positif,03/01/21 21:11:46,,,
nindyalistya8,"Assalamualaikum Bapak presiden @jokowi yang saya hormati,  bapak saya mohon perhatikan nasib kami para CPMI, bagaimana nasib kami CPMI dengan negara penempatan tujuan taiwan, yang ada kami di suruh sabar oleh lembaga yang menangani kami sementara tidak ada solusi.kami butuh kepastian jika ini masalah pandemik kenapa filipina, thailand vietnam bisa memasukkan pekerjanya ada apa dengan indonesia.  jika memang ada kebijakan yang tidak pas bagi negara penempatan kenapa tidak di revisi. di indonesia cari kerja sulit niat bekerja keluar negeri yang jelas2 kami harus mempertaruhkan segalanya di persulit, CPMI juga keluarkan biaya tidak sedikit keluarga menunggu2 kepastian kpn kami berangkat itu beban mental pak. kami rakyat bapak juga kan",Negatif,03/01/21 21:40:45,,,
dedy_rigan,Salam hormat saya pak…,Positif,03/01/21 21:41:21,,,
sudarsiheci,Semangat 45,Positif,03/01/21 23:28:10,,,
ledyrimarose_real,Pak kapan anak masuk sekolah lagi anak sy anak ABK(Anak berkebutuhhan khusus) harus banyak inteeraksi sm org biar dia pandaii bicara toloong sy pak buka lg sekolah @jokowi,Negatif,03/01/21 23:34:02,,,
arifkurniawan8872,Setiap pemilu sy selalu pilih pak jokowi karena yg terbaik.tapi kenapa sy nda pernah dapat bantuan sama sekali dimasa pandemi ini. Terlalu,Negatif,03/01/21 23:36:35,,,
23octftm,"Pak tolong dong lebih di perketat psbb nya karena kita gatau virus masuk dr mana aja and daerah saya zona merah bahkan banyak yg meninggal jd gimana saya berani juga untuk masuk sekolah nanti yang ada kena juga astaghfirullah tlg ya presiden yang bijak di respon and di baca hehe tlg di liat tu kalangan remaja yang msh suka nongsky di hotel apart and caffe kedai gitu tiap malem karna ngindarins satpol PP. Bahkan dia bisa pagi atau siang dia main,nanti giliran kena virus baru tau rasa,tlg ya pak d srh psbb LBH d perketat demi kesejahteraan and kesehatan diri sendiri dan negara ambil hikmahnya di th 2020 udh tau kan pak kyk gimana tlg ya pak jangan Raisa aja di ksh sepeda ini kan cuman respon ig aja pak idung mampet aja sengsara gmn covid + rsnya kan kgk bsa ngerasain manis pait d lidah gbisa nyium napas jg nyesek katanya mknya saya tkt tlg ya pak d jaga lg masyarakat nya LBH teliti and ketat",Negatif,04/01/21 00:25:25,,,
lisva.pardede.28,Mulai kpn pak Jokowi vaksin nya?,Positif,04/01/21 00:44:14,,,
suc8751,"bagaimana dgn nasib kami rakyat kecil yg tdk mampu, pdahal blm msuk sekolah tp spp hrus tetap bayar, tolong ksi keringanan pak…",Negatif,04/01/21 02:08:30,,,
hunterandtineni,"Hari ini saya melaksanakan suntikan vaccine Covid-19 by Pfizer untuk para manula usia 70th keatas, dan para pekerja medical, Saran saya untuk terus menjaga tubuh dng makan yg di butuhkan tubuh immune sistem, apa saja makanan yg mengandung dlm immune system bisa lihat di info accurate atau lihat di rangkuman saya",Positif,04/01/21 02:14:25,,,
rifkiysf_,Pengen sekolah pa,Positif,04/01/21 02:31:24,,,
rizki_aynur,Semoga vaksin ini bisa menjadi jalan keluar dari pandemi ini. Aamiin.,Positif,04/01/21 02:34:49,,,
thomasabung,"Pak Jokowi yth, Kemenkes mengatakan program vaksinasi akan berjalan selama 15 bulan. Sedangkan dari beberapa link berita mengatakan periode imunitas setelah divaksin hanya sekitar 3-6 bulan, walaupun belum ada hasil yg pasti dari penelitian. Namun jika memang periode imunitas tidak selama program vaksinasi maka kelompok2 awal yang divaksin perlu divaksin ulang beberapa kali sampai dengan program vaksinasi selesai. Mohon hal ini dipertimbangkan dalam pelaksanaan program vaksinasi.",Negatif,04/01/21 02:49:00,,,
flatearthcommunity_,"Tinggal cabut status pandemi, maka berakhir lah plandemi covid di Indonesia",Negatif,04/01/21 04:31:13,,,
kandar_150,"mau tanya kak, korban PHK akhir tahun berharap BSU diperpanjang utk yg korban PHK, anak istri tak bisa makan karena dampak pandemi kepala keluarga kena PHK massal . Mohon pengertian nya kepala negara yg terhormat. Jgn asal kasih BSU. Trma ksh",Negatif,04/01/21 04:48:10,,,
evandwisatriya,Uang santunan keluarga covid 15 juta belum cair pak @jokowi @gibran_rakabuming @kaesangp,Negatif,04/01/21 06:33:35,,,
rojalianja,Hidup ini tanpa ada tantangan mukin kita gamau berubah mudah2han adanya tantangan kita menuju sukses amin yra msntap,Positif,04/01/21 06:36:16,,,
yusherlianty,Semoga Allah memberkahimu Pak Presiden Aamiin,Positif,04/01/21 08:41:31,,,
sakera_kedurus,"Semoga di tahun 2021 saya sudah gak pengangguran lagi,, setelah 1 tahun jadi pengangguran",Positif,04/01/21 09:20:03,,,
lana.allende,BAPAK JOKOWI KENAPA TIDAK MASUK DAFTAR VAKSIN DITAHAP PERTAMA ?,Positif,04/01/21 09:20:21,,,
rahmanhbb,MODUSSS CEBONG PKI MAFIAAA.....MUNAFIKKK,Negatif,04/01/21 10:20:10,,,
achmadvicky_,"PAK SAYA CAPEK BELAJAR ONLINE..... TOLONGLAH PAK BELAJAR ONLINE INI SEPERTI PEMBODOHAN MASAL.... BANYAK SISWA YG PUTUS SEKOLAH KARNA ONLINE,BANYAK SISWA YG MENGELUH KARNA NILAINYA TURUN... TATAP MUKA AJA BELUM TENTU PAHAM MATERINYA APA LAGI ONLINE YG GA JELAS SAMA SEKALI.... BUKANNYA KAMI YG TIDAK MEMPERHATIKAN ATAU TIDAK BELAJAR...TAPI MEMANG SUSAH APA BILA MATERI DISAMPAIKAN SECARA ONLINE APA LAGI SAYA ANAK KELAS 3 SMK YG SEHARUSNYA 2 SAMPAI 3 BULAN LAGI LULUS SAMPE SEKARANG SAYA BELUM MAGANG KARENA KONSPIRASI KORONA, SAYA ORANG SUSAH PAK ,SAYA MASUK SMK BIAR LULUS BISA CEPAT KERJA, TAPI KALO MASUK SMK UJUNG UJUNGNYA GA MAGANG DAN GA DAPAT SERTIFIKAT YA PERCUMA SAYA MASUK SMK ,TOLONG DI PAHAMI DAN LIHAT LAH KEBAWAH JANGAN LIHAT KE ATAS TERUS.......",Negatif,04/01/21 10:28:36,,,
sintaanggera_,Semoga Hiburan Segera Diperbolehkan lagiii,Positif,04/01/21 12:33:29,,,
stelahalim,Sehat2 terus ya Pak,Positif,04/01/21 12:37:44,,,
sitielokrj,Bapak presiden yang terhormat. Selama tahun 2020 nama emak ataupun bapak saya tidak terdaftar di bantuan sosial. Apakah tahun ini kami juga tidak dapat?,Negatif,04/01/21 13:11:51,,,
ff.faraaa___,Pak kapan masuk sekolah.. ,Positif,04/01/21 23:40:03,,,
risdiyantoramli,Terima kasih Pak Jokowi buat Tol nya...sangat memberi keuntungan dan efisiensi....sehat dan bahagia selalu untuk Bapak dan Keluarga @jokowi,Positif,05/01/21 01:57:35,,,
alinsalsabilla5,Masyallah,Positif,05/01/21 04:46:46,,,
alinsalsabilla5,Aamiin,Positif,05/01/21 04:46:59,,,
agung.mulyana.75033,"Sekolah cepet aktif kembali,emak saya mau jualaannnnnnn",Negatif,05/01/21 04:59:47,,,
cicinovita_s,"Gimana covid ngga bertambah banyak pak, sekarang sakit TBC, sakit jantung aja mau rawat inap harus dianggap pasien covid biar bisa rawat inap, kalo ngga mau ya ngga bisa masuk rawat inap gimana ngga melonjak naik kasus pasien covid @jokowi",Negatif,05/01/21 06:37:39,,,
natalia_angelina_lay_,Pakk jokowi sehat selalu semangat terus pakkk,Positif,05/01/21 09:18:46,,,
jigsawsudahtobat,Menteri2 lo yg bikin taun 2020 di indo jadi gakpasti anjing! @luhut.pandjaitan tanggung jawab juga lo hut! Jangan bikin warga indo jd tikus percobaan virus buatan China dong.. egois bat taik,Negatif,05/01/21 12:50:59,,,
rudi.sahrudi.73,Amin Amin mudah mudahan semua bisa berjalan lancar dan penuh keberkahan.,Positif,06/01/21 14:31:56,,,
alfarizki115,Semangat pak presiden smua indah pada waktunya,Positif,06/01/21 16:07:18,,,
tokorasin,Pak presiden ini kenapa rapid tes saya bayar 245.000 terus positif tanpa gejala dan harus tes pcr bayar 1.190.000 kenapa ya pak bisa mahal sekali,Negatif,07/01/21 05:18:31,,,
gorettikhg,Pak de Jokowi ...dokter sekarang  sedikit2 bilang covid. Masa pasien sakit asam lambung di karantina untuk di swab tapi swabnya baru hari ke 3. Dan hasil swab di rahasiakan dan waktu mau pulang setelah 12 hari di rapid lagi dan negatif. Itu pake BPJS maksudnya supaya dana dr pemerintah turun?. Saya ko kasian sama pemerintah yg harus keluarin dana yang tidak efektif. Kayanya setiap RS harus ditertibkan. Pemerintah sudah memberikan perhatian dan pelayanan untuk rakyat tapi disalahkan gunakan.,Negatif,08/01/21 11:10:09,,,
ir.f.ayu.3,Buat : Bapak Presiden Republik Indonesia Bapak Jokowi terima kasih,Positif,08/01/21 15:23:35,,,
